codigo_ibge,unidades_locais_2022,pessoal_ocupado_2022,pessoal_assalariado_2022,salario_medio_sm_2022,salario_medio_reais_2022,unidades_locais_2023,pessoal_ocupado_2023,pessoal_assalariado_2023,salario_medio_sm_2023,salario_medio_reais_2023
4300034,263,1049,793,2.8,3405.57,276,1134,877,2.7,3609.45
4300059,224,861,639,2.9,3538.51,242,906,669,3.1,4095.06
4300109,690,3473,2678,2.1,2533.95,716,3556,2750,2.1,2710.42
4300208,365,1644,1240,2.3,2731.17,388,1745,1293,2.3,3013.61
4300307,215,760,527,2.2,2648.77,223,794,554,2.1,2766.47
4300406,3143,15193,11772,2.2,2630.97,3200,15487,12031,2.1,2793.86
4300455,186,575,384,2.4,2881.34,194,573,381,2.2,2852.96
4300471,103,699,595,2.3,2803.55,111,674,566,2.7,3577.35
4300505,328,1131,816,2.5,3080.76,347,1211,862,2.3,3065.84
4300554,98,431,336,2.4,2893.40,102,423,327,2.3,3071.27
4300570,144,934,749,2.4,2853.16,149,960,769,2.5,3297.04
4300604,5177,23786,17953,2.2,2708.54,5425,24580,18591,2.3,2971.62
4300638,160,638,490,2.1,2489.30,171,602,434,2.1,2729.93
4300646,461,1918,1371,1.7,2120.56,498,2041,1457,1.7,2256.81
4300661,105,357,240,2.5,3081.52,112,381,255,2.5,3238.76
4300703,403,1874,1336,2.4,2883.12,425,1907,1346,2.3,3053.05
4300802,1149,5387,3833,2.3,2828.10,1174,5499,3809,2.4,3093.36
4300851,226,720,507,2.3,2734.48,242,685,469,2.1,2819.90
4300877,414,2843,2350,2.0,2378.45,435,2827,2324,2.0,2625.21
4300901,434,1784,1287,2.9,3553.88,453,1895,1369,2.8,3626.99
4301008,1686,10168,7974,2.3,2783.99,1757,10214,7902,2.2,2884.96
4301057,787,2951,2091,2.1,2512.37,856,3032,2097,2.1,2702.93
4301073,83,396,309,2.0,2456.97,87,431,341,2.1,2719.67
4301107,590,2515,1889,2.2,2668.07,606,2604,1962,2.1,2758.50
4301206,566,2602,1930,1.8,2229.44,593,2709,2013,1.8,2350.13
4301305,793,2882,2115,2.3,2774.46,796,2852,2083,2.3,3072.36
4301404,709,2735,1763,1.9,2325.63,743,2830,1836,1.9,2555.82
4301503,452,1754,1244,2.4,2914.15,460,1695,1183,2.5,3340.18
4301552,234,694,429,2.1,2592.21,240,701,435,2.3,3040.72
4301602,4821,25704,20196,2.7,3289.30,4883,26233,20670,2.8,3673.40
4301636,541,2272,1744,2.2,2606.91,526,2365,1863,2.2,2872.97
4301651,407,2303,1843,2.5,3067.71,433,2417,1934,2.5,3310.09
4301701,631,2221,1434,2.2,2686.34,655,2269,1450,2.3,3031.33
4301750,191,570,387,2.4,2878.40,198,593,408,2.3,3080.09
4301800,238,893,609,2.4,2855.80,250,934,649,2.3,3002.92
4301859,91,343,266,2.0,2449.66,93,400,323,2.0,2643.88
4301875,196,887,702,1.8,2228.66,207,935,738,2.0,2571.69
4301909,579,3180,2521,1.8,2237.37,626,3266,2565,1.9,2445.70
4301925,67,284,220,2.8,3410.99,74,307,241,2.7,3601.67
4301958,179,899,699,2.3,2811.01,187,1080,870,2.5,3325.61
4302006,333,1231,874,1.9,2303.73,339,1231,859,1.9,2462.83
4302055,67,297,235,2.2,2690.25,77,314,251,2.1,2723.02
4302105,11315,60552,45774,3.1,3702.78,11821,62469,46536,3.1,4081.51
4302154,158,506,352,2.5,3076.36,161,501,345,2.5,3227.29
4302204,761,2647,1771,1.9,2288.79,772,2638,1746,2.0,2573.10
4302220,88,386,306,3.1,3772.78,92,398,311,3.0,4007.86
4302238,112,526,415,2.5,3057.35,117,573,461,2.3,3062.08
4302253,139,1115,927,2.5,2993.16,151,914,711,2.8,3650.98
4302303,553,2564,1999,1.9,2257.94,578,2673,2099,1.9,2495.70
4302352,1228,6679,5174,2.1,2601.54,1275,6997,5429,2.1,2807.50
4302378,88,414,339,1.9,2271.36,95,435,360,2.0,2620.35
4302402,683,4169,3395,1.8,2175.31,712,4219,3423,1.8,2383.31
4302451,345,928,544,2.0,2411.83,347,960,564,1.9,2522.49
4302501,226,1016,793,2.6,3092.91,236,964,738,2.4,3171.19
4302584,82,292,220,3.0,3686.54,93,310,228,3.2,4215.27
4302600,124,475,383,2.1,2485.29,127,493,396,2.0,2602.88
4302659,317,1159,803,1.9,2298.20,321,1147,786,1.9,2455.56
4302709,891,4580,3665,2.5,2993.22,832,4189,3367,2.4,3160.25
4302808,1603,7633,5726,2.5,3042.17,1655,7692,5688,2.3,3063.71
4302907,390,1699,1337,2.2,2719.11,392,1660,1294,2.3,3030.91
4303004,4011,19383,14569,2.3,2770.58,4081,19080,14175,2.2,2881.42
4303103,9260,49002,38932,2.5,3081.34,9567,50499,40119,2.5,3325.12
4303202,213,664,415,2.0,2398.29,236,676,401,2.0,2669.12
4303301,281,1242,955,2.8,3445.36,289,1289,985,2.7,3503.02
4303400,206,674,457,2.2,2657.04,216,689,466,2.3,2983.72
4303509,3788,15751,11246,2.4,2938.18,3930,16247,11513,2.2,2954.83
4303558,158,806,626,2.8,3345.61,182,845,655,2.8,3685.82
4303608,498,2223,1671,2.4,2945.58,505,2334,1800,2.2,2916.41
4303673,151,618,411,2.4,2856.03,162,646,448,2.3,3032.07
4303707,337,1136,788,2.1,2491.24,348,1140,780,2.1,2805.98
4303806,349,1312,865,2.5,3064.21,354,1386,939,2.6,3464.72
4303905,4931,35480,29191,2.5,3024.03,5128,30635,24129,2.6,3356.40
4304002,372,1574,1092,2.3,2823.37,360,1543,1112,2.3,3009.98
4304101,219,771,549,2.2,2634.23,237,816,578,2.1,2698.90
