codigo_ibge,municipio,populacao_2026,salario_medio_sm_2023,pib_per_capita_reais_2023,pib_per_capita_fonte,renda_media_domiciliar_2022,renda_mediana_domiciliar_2022,razao_media_mediana_2022,gini_2010,gini_2000
4314902,Porto Alegre,1388791,,75420.47,calculado,3203.31,1700.00,1.884,,
4316907,Santa Maria,282397,,38711.54,calculado,2365.64,1450.00,1.631,,
4314407,Pelotas,336150,,37129.02,calculado,1959.93,1212.00,1.617,,
4314100,Passo Fundo,214815,2.6,68227.53,ibge_cidades,2343.36,1500.00,1.562,0.52,0.58
4313409,Novo Hamburgo,235801,,50621.42,calculado,2138.48,1380.00,1.550,,
4310207,Ijui,87849,,69497.02,calculado,2280.37,1503.00,1.517,,
4304606,Canoas,359845,,81053.50,calculado,2066.82,1380.00,1.498,,
4318705,Sao Leopoldo,225738,,52011.24,calculado,1922.89,1300.00,1.479,,
4317103,Sant'Ana do Livramento,87330,,35996.95,calculado,1600.16,1084.80,1.475,,
4316808,Santa Cruz do Sul,138273,,96885.28,calculado,2192.33,1500.00,1.462,,
4322400,Uruguaiana,120818,,32408.70,calculado,1566.17,1073.14,1.459,,
4303004,Cachoeira do Sul,82222,,41001.64,calculado,1757.97,1212.00,1.450,,
4301602,Bage,121929,,36207.69,calculado,1662.21,1150.00,1.445,,
4304705,Carazinho,63671,2.5,60594.24,ibge_cidades,2049.08,1423.00,1.440,0.51,0.56
4311403,Lajeado,96883,,69209.53,calculado,2490.87,1760.00,1.415,,
4307005,Erechim,109610,,77521.27,calculado,2385.71,1700.00,1.403,,
4305108,Caxias do Sul,479604,,78941.38,calculado,2330.62,1666.67,1.398,,
4303103,Cachoeirinha,141506,,54992.89,calculado,1884.12,1350.00,1.396,,
4315602,Rio Grande,198935,,70911.00,calculado,1671.01,1200.00,1.393,,
4309308,Guaiba,95946,,93821.37,calculado,1668.25,1212.00,1.376,,
4311809,Marau,46750,2.4,82844.93,ibge_cidades,2256.96,1650.00,1.368,0.44,0.49
4309209,Gravatai,275432,,56440.64,calculado,1696.73,1250.00,1.357,,
4323002,Viamao,231994,,23902.27,calculado,1489.82,1100.00,1.354,,
4317202,Santa Rosa,79489,,56993.50,calculado,2122.58,1575.00,1.348,,
4302105,Bento Goncalves,127980,,70812.61,calculado,2516.92,1900.00,1.325,,
4320909,Tapejara,25257,2.2,76169.60,ibge_cidades,1867.41,1425.00,1.310,0.44,0.51
4320404,Serafina Correa,17407,2.3,58281.73,ibge_cidades,2126.45,1625.00,1.309,0.36,0.47
4320008,Sapucaia do Sul,136573,,34629.16,calculado,1571.59,1250.00,1.257,,
4300604,Alvorada,194061,,21281.63,calculado,1332.84,1070.67,1.245,,
