codigo_ibge,municipio,mesorregiao,microrregiao,regiao_intermediaria
4300034,Aceguá,Sudoeste Rio-grandense,Campanha Meridional,Pelotas
4300059,Água Santa,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4300109,Agudo,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4300208,Ajuricaba,Noroeste Rio-grandense,Ijuí,Ijuí
4300307,Alecrim,Noroeste Rio-grandense,Santa Rosa,Ijuí
4300406,Alegrete,Sudoeste Rio-grandense,Campanha Ocidental,Uruguaiana
4300455,Alegria,Noroeste Rio-grandense,Ijuí,Ijuí
4300471,Almirante Tamandaré do Sul,Noroeste Rio-grandense,Carazinho,Passo Fundo
4300505,Alpestre,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4300554,Alto Alegre,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4300570,Alto Feliz,Metropolitana de Porto Alegre,Montenegro,Caxias do Sul
4300604,Alvorada,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4300638,Amaral Ferrador,Sudeste Rio-grandense,Serras de Sudeste,Porto Alegre
4300646,Ametista do Sul,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4300661,André da Rocha,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4300703,Anta Gorda,Nordeste Rio-grandense,Guaporé,Santa Cruz do Sul - Lajeado
4300802,Antônio Prado,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4300851,Arambaré,Metropolitana de Porto Alegre,Camaquã,Porto Alegre
4300877,Araricá,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4300901,Aratiba,Noroeste Rio-grandense,Erechim,Passo Fundo
4301008,Arroio do Meio,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4301057,Arroio do Sal,Metropolitana de Porto Alegre,Osório,Porto Alegre
4301073,Arroio do Padre,Sudeste Rio-grandense,Pelotas,Pelotas
4301107,Arroio dos Ratos,Metropolitana de Porto Alegre,São Jerônimo,Porto Alegre
4301206,Arroio do Tigre,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4301305,Arroio Grande,Sudeste Rio-grandense,Jaguarão,Pelotas
4301404,Arvorezinha,Nordeste Rio-grandense,Guaporé,Passo Fundo
4301503,Augusto Pestana,Noroeste Rio-grandense,Ijuí,Ijuí
4301552,Áurea,Noroeste Rio-grandense,Erechim,Passo Fundo
4301602,Bagé,Sudoeste Rio-grandense,Campanha Meridional,Pelotas
4301636,Balneário Pinhal,Metropolitana de Porto Alegre,Osório,Porto Alegre
4301651,Barão,Metropolitana de Porto Alegre,Montenegro,Caxias do Sul
4301701,Barão de Cotegipe,Noroeste Rio-grandense,Erechim,Passo Fundo
