codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4300034,921045,502258,47976,250786,120025,54.53,5.21,27.23,13.03,3
4300059,1072874,323450,63495,604079,81849,30.15,5.92,56.30,7.63,3
4300109,1572551,452685,295186,547759,276920,28.79,18.77,34.83,17.61,3
4300208,1058883,461467,85705,386496,125218,43.58,8.09,36.50,11.83,3
4300307,393705,137227,13749,147898,94832,34.86,3.49,37.57,24.09,3
4300406,6942520,2000952,744933,2947594,1249041,28.82,10.73,42.46,17.99,3
4300455,366906,164223,10061,115309,77310,44.76,2.74,31.43,21.07,3
4300471,577385,326538,43001,154723,53123,56.55,7.45,26.80,9.20,3
4300505,1242123,168279,793495,137584,142765,13.55,63.88,11.08,11.49,3
4300554,212793,111008,7350,49457,44979,52.17,3.45,23.24,21.14,3
4300570,363369,107464,117169,72986,65750,29.57,32.25,20.09,18.09,3
4300604,8384506,2996,1311152,4032532,3037827,0.04,15.64,48.10,36.23,3
4300638,374901,139677,11824,100544,122854,37.26,3.15,26.82,32.77,3
4300646,405823,55978,106044,116832,126969,13.79,26.13,28.79,31.29,3
4300661,375119,261175,12394,62725,38825,69.62,3.30,16.72,10.35,3
4300703,686065,264636,52556,261741,107132,38.57,7.66,38.15,15.62,3
4300802,1829477,209016,670709,720930,228822,11.42,36.66,39.41,12.51,3
4300851,560873,331561,25888,118825,84600,59.12,4.62,21.19,15.08,3
4300877,552457,2956,238643,189191,121667,0.54,43.20,34.25,22.02,3
4300901,2891641,266714,2282135,191758,151035,9.22,78.92,6.63,5.22,3
4301008,3459561,196199,1653245,1271447,338670,5.67,47.79,36.75,9.79,3
4301057,728953,9941,72128,424996,221887,1.36,9.89,58.30,30.44,3
4301073,184634,74848,7492,37225,65069,40.54,4.06,20.16,35.24,3
4301107,832085,131035,97710,359741,243599,15.75,11.74,43.23,29.28,3
4301206,1004158,351528,73211,360925,218494,35.01,7.29,35.94,21.76,3
4301305,2185796,1159274,109335,593576,323612,53.04,5.00,27.16,14.81,3
4301404,806117,194279,93661,349151,169025,24.10,11.62,43.31,20.97,3
4301503,1060292,457067,56356,429071,117797,43.11,5.32,40.47,11.11,3
4301552,357070,135239,31378,117109,73342,37.87,8.79,32.80,20.54,3
4301602,9166913,774391,1113045,5157439,2122037,8.45,12.14,56.26,23.15,3
4301636,756465,41547,57019,386787,271111,5.49,7.54,51.13,35.84,3
4301651,699285,89458,366729,138925,104171,12.79,52.44,19.87,14.90,3
4301701,765589,254493,112405,286340,112352,33.24,14.68,37.40,14.68,3
4301750,394057,187059,20624,64917,121455,47.47,5.23,16.47,30.82,3
4301800,681453,372862,47390,157693,103508,54.72,6.95,23.14,15.19,3
4301859,148974,45391,7460,34469,61655,30.47,5.01,23.14,41.39,3
4301875,721049,447941,34041,141205,97862,62.12,4.72,19.58,13.57,3
4301909,1116631,428554,120643,345496,221940,38.38,10.80,30.94,19.88,3
4301925,191913,119385,4134,25339,43056,62.21,2.15,13.20,22.44,3
4301958,377872,84633,99292,131103,62843,22.40,26.28,34.70,16.63,3
4302006,611718,245258,24222,158484,183753,40.09,3.96,25.91,30.04,3
4302055,117919,42293,6466,23139,46021,35.87,5.48,19.62,39.03,3
